r,K,m,g,C0,distance
[0.33896199],[966.67269312],[2.26971712],[9.36324731],[799.11186385],219.54097290294237
[0.11316527],[1952.45260552],[8.16564063],[22.7175457],[943.41391492],73.33029691292143
[8.61813048],[750.25788324],[5.5960603],[2.05844378],[997.77436318],206.14475644215474
[0.13030688],[28506.31390033],[12.82924794],[20.3719703],[1054.81457154],209.57970346711932
[8.73166314],[779.578263],[8.50471492],[14.86715553],[947.14446034],247.93113016025927
[0.08104347],[19664.31178916],[9.80262613],[20.90758727],[991.94451033],108.86297231373976
[0.09874348],[29585.924676],[11.64573945],[24.8759232],[1032.18653226],193.84164735832223
[0.07744152],[6702.39887473],[2.74769641],[11.96533402],[836.88382266],180.4609273889763
[3.62075674],[782.87935952],[18.11108843],[20.46626686],[941.51811682],230.95828240920684
[0.37829294],[1088.85879942],[8.80576335],[20.19172385],[811.1677972],247.14392753498623
[20.29585293],[745.93657535],[8.12178745],[17.61672965],[991.23376864],240.29714671614704
[3.20681177],[859.61829247],[5.54651082],[2.68693364],[965.62987613],229.72028007212282
[12.69082895],[760.15743978],[3.36447923],[3.5654824],[940.25952633],227.36076565779922
[1.70502344],[890.0563307],[17.6980649],[15.03866746],[1059.19879039],210.5846830679693
[0.0224348],[29903.02629882],[8.53560135],[22.90480515],[1022.18268705],232.66130909731362
[21.11814312],[739.43006584],[8.47952584],[24.71433807],[980.00537713],235.575310172665
[4.15567654],[768.32280944],[10.02119204],[5.57766865],[983.09984187],165.97349605767704
[0.08034815],[7720.5865854],[1.12242081],[4.37075884],[838.73447823],160.93195923402266
[0.06328715],[11147.21115246],[9.1758727],[23.3470594],[1054.94448911],229.18543160953539
[9.94565016],[771.46180743],[17.08237118],[18.94454861],[957.35223703],229.6964687115892
[0.05419319],[3082.88094966],[6.24931859],[20.37203984],[960.02246868],127.71722861842227
[23.9806378],[750.06704508],[1.1537871],[2.75538457],[1002.38283061],244.88742359709067
[0.13310793],[1355.03127076],[8.70293777],[23.13806023],[938.52743134],110.83178419873548
[1.37324807],[829.29365001],[12.28674451],[15.59155669],[902.76789654],181.52342779419848
[23.92916951],[729.28534972],[2.25045888],[2.60171887],[938.82289236],242.60508976593792
[0.05330092],[6990.80065546],[3.38115149],[10.43157559],[996.70727491],169.16236569707087
[8.67723128],[743.97191182],[15.33715134],[19.39385095],[974.03331937],224.87997735581553
[1.17335123],[979.51936645],[17.73298268],[17.7518416],[947.7863365],231.82841129704912
[0.06977565],[18991.06401173],[6.87222432],[21.23293277],[955.47656825],115.47287403411246
[13.89484533],[748.33432186],[6.63990847],[6.20240894],[943.4731702],222.8815999620707
[4.01582138],[787.34139731],[8.54518559],[7.53336442],[978.75538653],219.30404556512963
[17.41133421],[742.00109663],[13.1232301],[21.58555083],[954.64472933],219.35411265118307
[0.12233116],[14075.4008833],[3.53437547],[5.62680293],[994.87068702],243.02898909628425
[16.84320556],[830.40064424],[1.86323629],[0.06823895],[1002.33884326],231.47877441030482
[18.12037576],[864.09738908],[18.55402532],[2.22308923],[1013.26711036],248.10604382055817
[11.39506922],[760.94967364],[3.44374956],[2.01213007],[902.1615796],231.64963221474716
[0.0290271],[17495.24494221],[4.07906719],[13.06867247],[974.75272358],159.9138347189994
[0.09918346],[11265.50855594],[5.86939764],[10.10358131],[1083.24984158],172.33142014293003
[22.02379788],[732.10967674],[11.40022474],[23.0073746],[985.74559247],248.63591415844644
[0.0951828],[27923.14142787],[8.06279694],[16.20860468],[1053.12353696],170.89912642590866
[0.07493581],[22538.84617969],[5.64333316],[17.2575801],[905.9324583],94.80836985203314
[0.18586659],[6515.65686132],[11.21916751],[19.25355962],[938.04287582],225.71781740827157
[0.14799009],[29264.36581931],[9.14501628],[17.96209061],[977.95168706],212.7423869853751
[17.20387408],[743.34721744],[14.57957117],[3.08477532],[963.06802077],180.6865287974606
[0.16368639],[1088.46961461],[2.18973264],[7.28338527],[930.70019186],142.24321900895768
[20.63833556],[750.31811024],[13.03225799],[4.17793767],[957.7681129],198.93109128514027
[8.30677507],[824.00291039],[18.3986381],[3.49653736],[1047.06566561],224.61914545014827
[12.25591325],[775.41234391],[5.20396254],[20.54186385],[945.58000055],245.49736803539713
[24.42499789],[722.20374809],[19.41390577],[9.36968896],[948.24762125],245.46921103784507
[0.12171328],[10178.3218047],[15.16814647],[23.02913789],[1114.60975224],234.17980022397887
[6.52612598],[757.23165917],[10.8809155],[21.43136703],[942.90292811],229.34899144262488
[1.58478094],[880.43842508],[12.10883631],[9.74768361],[1054.51798087],239.62211349879203
[0.04403704],[25082.77982709],[3.89516902],[16.48669479],[869.18032187],201.36804139198443
[14.59580549],[937.95327828],[6.24270545],[0.33953648],[1075.39105396],235.12083002963288
[8.04771819],[755.4082236],[2.88192437],[0.92259364],[951.82751252],245.92737816837348
[2.89355861],[871.41293503],[14.75397106],[7.2403094],[1012.62707718],244.34924246527726
[0.12106817],[11556.47839742],[10.33813038],[15.82411632],[1103.57693949],226.31380883381746
[18.39890007],[918.94500659],[12.16997458],[1.06733816],[849.22717889],232.61026938867928
[1.61535108],[772.05563517],[6.30221591],[14.80296684],[950.9419145],184.52386008792303
[1.09863328],[840.9219959],[13.51858764],[16.92337185],[877.44064182],233.9724970847302
[13.32780087],[1035.96803689],[5.9934071],[0.277679],[853.01389251],140.54348826538694
[19.6391321],[915.3743795],[13.45719915],[0.79164075],[993.68675876],135.54905063385104
