ln(alpha),alpha,ln(Beta),Beta,-2 ln(Likelihood)
-1.160202685,0.313422648,1.381640723,3.981428693,-12.07715951
-1.092359636,0.33542408,0.814613316,2.258302255,-18.96674045
-1.46538143,0.230989868,0.427033162,1.532703489,-37.87767039
-0.961480106,0.382326583,1.554778883,4.734039633,-17.83919841
-1.098851465,0.333253617,0.93666942,2.551469377,-27.52954142
-0.914954685,0.400534776,2.714296831,15.09399271,-19.33599942
-1.357230633,0.25737255,1.33559903,3.80227294,-25.47409156
-1.450901285,0.234358969,0.467910625,1.596654695,-33.47922332
-1.002586656,0.366929093,1.616726523,5.036576184,-27.01370273
-1.046735782,0.351081889,1.084548976,2.95810534,-20.90848853
-0.928590532,0.395110213,1.64166166,5.16374277,-10.28411981
-0.784996108,0.456121477,1.091973176,2.980148632,-24.56869901
-1.020432431,0.360439042,2.020988187,7.545777892,-14.29752632
-1.41907485,0.241937742,0.2527756,1.287594308,-15.84342091
-0.970257002,0.378985626,1.990977591,7.32268886,-26.26607417
-1.002505028,0.366959046,0.74551467,2.107525835,-25.88810117
-1.143939439,0.318561593,1.574275387,4.827242468,-20.11198777
-1.492720578,0.224760345,-0.366796654,0.692950539,-33.75655847
-0.662390186,0.515617439,2.637997729,13.98517344,-21.16896945
-0.796251228,0.451016557,1.921022498,6.827936452,-17.52686338
-1.603196754,0.201252135,-0.091803862,0.912284066,-22.66755865
-0.888103794,0.411435179,1.597068665,4.938534687,-21.46878474
-0.64272002,0.525860127,2.233571309,9.333138156,-20.83647728
-0.967187716,0.380150628,2.002575483,7.408111017,-11.06967012
-1.115979923,0.327594105,1.940429247,6.961738634,-25.00759476
-0.92252869,0.397512583,1.509937685,4.526448719,-26.8203502
-1.05761746,0.347282239,1.338503873,3.813334005,-23.40813753
-0.808407116,0.445567238,1.76632181,5.849298911,-17.88530561
-0.351052547,0.703946763,3.661413175,38.91629958,-18.81043513
-1.218313963,0.295728356,0.215162887,1.24006387,-43.54561664
-0.895223775,0.408516173,2.005825911,7.432229725,-18.62417259
