"","ActivityID","CareType","HCWType","Orientation","Surface","Date","Time","Dev.Date.Time","SurfaceCategories"
"1",1,"IV","RN","rightFacing","AlcOutside","8/3/2019",11:08:01,"8/3/2019 11:08","HygieneArea"
"2",1,"IV","RN","rightFacing","In","8/3/2019",11:08:12,"8/3/2019 11:08","In"
"3",1,"IV","RN","rightFacing","Door","8/3/2019",11:08:12,"8/3/2019 11:08","FarPatient"
"4",1,"IV","RN","rightFacing","Door","8/3/2019",11:08:18,"8/3/2019 11:08","FarPatient"
"5",1,"IV","RN","rightFacing","Other","8/3/2019",11:08:22,"8/3/2019 11:08","FarPatient"
"6",1,"IV","RN","rightFacing","Table","8/3/2019",11:10:26,"8/3/2019 11:10","NearPatient"
"7",1,"IV","RN","rightFacing","Tray","8/3/2019",11:10:29,"8/3/2019 11:10","Equipment"
"8",1,"IV","RN","rightFacing","Table","8/3/2019",11:10:32,"8/3/2019 11:10","NearPatient"
"9",1,"IV","RN","rightFacing","Table","8/3/2019",11:10:35,"8/3/2019 11:10","NearPatient"
"10",1,"IV","RN","rightFacing","Table","8/3/2019",11:10:38,"8/3/2019 11:10","NearPatient"
"11",1,"IV","RN","rightFacing","Table","8/3/2019",11:10:41,"8/3/2019 11:10","NearPatient"
"12",1,"IV","RN","rightFacing","Table","8/3/2019",11:11:03,"8/3/2019 11:11","NearPatient"
"13",1,"IV","RN","rightFacing","Table","8/3/2019",11:11:07,"8/3/2019 11:11","NearPatient"
"14",1,"IV","RN","rightFacing","Table","8/3/2019",11:11:17,"8/3/2019 11:11","NearPatient"
"15",1,"IV","RN","rightFacing","Table","8/3/2019",11:11:22,"8/3/2019 11:11","NearPatient"
"16",1,"IV","RN","rightFacing","Table","8/3/2019",11:11:46,"8/3/2019 11:11","NearPatient"
"17",1,"IV","RN","rightFacing","Patient","8/3/2019",11:11:48,"8/3/2019 11:11","Patient"
"18",1,"IV","RN","rightFacing","Table","8/3/2019",11:11:54,"8/3/2019 11:11","NearPatient"
"19",1,"IV","RN","rightFacing","Patient","8/3/2019",11:12:02,"8/3/2019 11:12","Patient"
"20",1,"IV","RN","rightFacing","Table","8/3/2019",11:12:08,"8/3/2019 11:12","NearPatient"
"21",1,"IV","RN","rightFacing","Table","8/3/2019",11:12:49,"8/3/2019 11:12","NearPatient"
"22",1,"IV","RN","rightFacing","Sharps","8/3/2019",11:12:51,"8/3/2019 11:12","Equipment"
"23",1,"IV","RN","rightFacing","Table","8/3/2019",11:12:53,"8/3/2019 11:12","NearPatient"
"24",1,"IV","RN","rightFacing","Sharps","8/3/2019",11:12:54,"8/3/2019 11:12","Equipment"
"25",1,"IV","RN","rightFacing","Waste","8/3/2019",11:13:02,"8/3/2019 11:13","HygieneArea"
"26",1,"IV","RN","rightFacing","Waste","8/3/2019",11:13:13,"8/3/2019 11:13","HygieneArea"
"27",1,"IV","RN","rightFacing","Sink","8/3/2019",11:13:16,"8/3/2019 11:13","HygieneArea"
"28",1,"IV","RN","rightFacing","Soap","8/3/2019",11:13:26,"8/3/2019 11:13","HygieneArea"
"29",1,"IV","RN","rightFacing","Sink","8/3/2019",11:13:32,"8/3/2019 11:13","HygieneArea"
