Plate Name	Dilution	Colony Name	Sector Constant	Count / Frame	Mean Count / ml	User	Flags	Created
SA- DT/4/R4	1 : 1	A	W	2	4.E+001	labuser		11/03/2020 16:57:36
SA- DT/4/R3	1 : 1	A	W	1	2.E+001	labuser		11/03/2020 16:57:01
SA- DT/4/R2	1 : 1	A	W	2	4.E+001	labuser	E 	11/03/2020 16:56:15
SA- DT/4/R1	1 : 1	A	W	2	4.E+001	labuser		11/03/2020 16:55:53
SA- A/4/R5	1 : 1	A	W	11	2.2E+002	labuser		11/03/2020 16:55:20
SA- A/4/R4	1 : 1	A	W	10	2.E+002	labuser		11/03/2020 16:55:02
SA- A/4/R3	1 : 1	A	W	2	4.E+001	labuser		11/03/2020 16:54:41
SA- A/4/R2	1 : 1	A	W	2	4.E+001	labuser		11/03/2020 16:54:23
SA- A/4/R1	1 : 1	A	W	2	4.E+001	labuser		11/03/2020 16:54:00
SA- C/4/R5	1 : 1	A	W	38	7.6E+002	labuser		11/03/2020 16:52:56
SA- C/4/R4	1 : 1	A	W	6	1.2E+002	labuser		11/03/2020 16:52:37
SA- C/4/R3	1 : 1	A	W	7	1.4E+002	labuser		11/03/2020 16:52:16
SA- C/4/R2	1 : 1	A	W	24	4.8E+002	labuser		11/03/2020 16:51:55
SA- C/4/R1	1 : 1	A	W	18	3.6E+002	labuser		11/03/2020 16:51:35
SA- C/2/R5	1 : 1	A	W	31	6.2E+002	labuser		11/03/2020 16:50:45
SA- C/2/R4	1 : 1	A	W	29	5.8E+002	labuser		11/03/2020 16:50:23
SA- C/2/R3	1 : 1	A	W	52	1.04E+003	labuser		11/03/2020 16:50:03
SA- C/2/R2	1 : 1	A	W	77	1.54E+003	labuser		11/03/2020 16:49:39
SA- C/2/R1	1 : 1	A	W	69	1.38E+003	labuser		11/03/2020 16:49:05
SA- DT/2/R5	1 : 1	A	3A	169	1.6E+004	labuser		11/03/2020 16:47:05
SA- DT/2/R4	1 : 1	A	4B	247	8.23E+003	labuser		11/03/2020 16:46:42
SA- DT/2/R3	1 : 1	A	4C	182	9.96E+003	labuser		11/03/2020 16:46:17
SA- DT/2/R2	1 : 1	A	W	7	1.4E+002	labuser		11/03/2020 16:45:33
