"CleaningType","TimeAfterCleaning","M","S"
"Alcohol",0,59.4,91.7703655871545
"Alcohol",1,18.6666666666667,26.1508444732989
"Alcohol",2,5.4,2.30217288664427
"Alcohol",4,5.4,4.6690470119715
"Alcohol",8,2.4,4.33589667773576
"Alcohol",24,8.6,4.27784992724149
"Control",0,59.4,23.5010638057089
"Control",1,41,9.89949493661167
"Control",2,51.6,21.6979261681848
"Control",4,18.6,13.2211951048307
"Control",8,21,16.1709616287962
"Control",24,16.5,6.45497224367903
"Detergent",0,221.6,76.4022250984878
"Detergent",1,94.3333333333333,86.9865890046659
"Detergent",2,96.25,89.4343334519803
"Detergent",4,1.75,0.5
"Detergent",8,1.6,2.30217288664427
"Detergent",24,8.5,4.04145188432738
"Distilled Water",0,261.625,31.5138858283138
"Distilled Water",1,175.5,61.6919767879098
"Distilled Water",2,47,8.98146239020499
"Distilled Water",4,18.6,13.2211951048307
"Distilled Water",8,128,78.2368199762746
"Distilled Water",24,56,76.4362479455919
