,S,I,R,HS,HI,HR,F
0,48.0,2.0,0.0,0.0,0.0,0.0,20.0
1,48.0,1.998597573858185,0.0014024261418150736,0.0,3.532045695819142e-06,1.1803031680631595e-09,19.68532987571959
2,48.0,1.9971961311218094,0.0028038688781903886,0.0,8.262421648027782e-06,5.238524500184606e-09,19.37561137019167
3,48.0,1.9957956710914877,0.004204328908511918,0.0,1.4552539509897077e-05,1.3148453360081116e-08,19.070765460921574
4,48.0,1.994396193082042,0.005603806917957553,0.0,2.2854945006325507e-05,2.615588734636299e-08,18.770715950719147
5,48.0,1.9929976964048546,0.007002303595145131,0.0,3.3742421584452464e-05,4.5870660608651113e-08,18.47538737905405
6,48.0,1.9916001803718115,0.008399819628188055,0.0,4.793640292359391e-05,7.436135522188122e-08,18.184705538686032
7,48.0,1.9902036442952775,0.009796355704722138,0.0,6.634539985846363e-05,1.1428618084505884e-07,17.898597388324927
8,48.0,1.9888080874880985,0.011191912511901268,0.0,9.009865028887563e-05,1.6901777726369144e-07,17.61699105037226
9,48.0,1.9874135092635923,0.012586490736407392,0.0,0.00012059195493356435,2.428099362848146e-07,17.339815772600527
10,48.0,1.9860199089355643,0.013980091064435462,0.0,0.00015955055989319843,3.410254224428132e-07,17.067001953551156
11,48.0,1.9846272858183005,0.015372714181699275,0.0,0.00020909942414901612,4.704053597315659e-07,16.79848111507292
12,48.0,1.983235639226568,0.016764360773431793,0.0,0.00027183918743901983,6.393689058978339e-07,16.53418589211331
13,48.0,1.9818449684756143,0.018155031524385492,0.0,0.00035093848791906785,8.583832112129966e-07,16.274050023082363
14,48.0,1.980455272881167,0.019544727118832657,0.0,0.00045023865385441353,1.1403927055916508e-06,16.018008341849203
15,48.0,1.9790665517594341,0.020933448240565786,0.0,0.0005743882494855115,1.5013860958204988e-06,15.765996770998079
16,48.0,1.9776788044271019,0.022321195572897884,0.0,0.0007289834829273869,1.9610077846701227e-06,15.517952318506039
17,48.0,1.976292030201337,0.02370796979866279,0.0,0.0009207239507167999,2.543250980379444e-06,15.273813076211418
18,48.0,1.9749062283997842,0.025093771600215573,0.0,0.0011576282117888637,3.277439914946926e-06,15.033518220438452
19,48.0,1.9735213983405668,0.02647860165943279,0.0,0.0014492204504113647,4.199117161881391e-06,14.797008016679387
20,48.0,1.9721375393422866,0.02786246065771287,0.0,0.00180678682000993,5.351272416801146e-06,14.564223826843927
21,48.0,1.9707546507240232,0.029245349275976426,0.0,0.002243664650624087,6.785780840471447e-06,14.335108121477507
22,48.0,1.9693727318053331,0.030627268194666612,0.0,0.002775509372934632,8.564774253509912e-06,14.10960449338812
23,48.0,1.96799178190625,0.03200821809374944,0.0,0.003420688091656509,1.0762698496197373e-05,13.887657679998252
24,48.0,1.9666118003472854,0.033388199652714126,0.0,0.004200655636223344,1.3468346411855788e-05,13.669213588913184
25,48.0,1.9652327864494263,0.03476721355057342,0.0,0.005140368891908147,1.6787182701708096e-05,13.454219328297967
26,48.0,1.9638547395341357,0.036145260465863936,0.0,0.006268748282134587,2.084400375514528e-05,13.242623243919555
27,48.0,1.9624776589233532,0.03752234107664649,0.0,0.007619213351416838,2.5786085106637277e-05,13.034374964372379
28,48.0,1.9611015439394932,0.03889845606050644,0.0,0.00923025395612629,3.178666260992775e-05,12.829425453466866
29,48.0,1.9597263939054455,0.040273606094553986,0.0,0.011146041587658147,3.904880639698718e-05,12.627727069794446
30,48.0,1.958352208144575,0.04164779185542456,0.0,0.013417105280732124,4.7809805058304e-05,12.429233635804835
31,48.0,1.9569789859807205,0.04302101401927912,0.0,0.01610106137073634,5.83460629186518e-05,12.233900516354517
32,48.0,1.9556067267381951,0.044393273261804485,0.0,0.019263398983623715,7.097854612865434e-05,12.041684707316849
33,48.0,1.9542354297417859,0.04576457025821368,0.0,0.022978325054522748,8.607884504606855e-05,11.852544935410297
34,48.0,1.9528650943167534,0.04713490568324624,0.0,0.027329669284027764,0.0001040758870051918,11.666441769773886
35,48.0,1.951495719788831,0.04850428021116861,0.0,0.032411846220889384,0.0001254633152782105,11.48333774548109
36,48.0,1.9501273054842252,0.04987269451577437,0.0,0.03833087854747986,0.00015080761334932004,11.30319750032607
37,48.0,1.9487598507296149,0.05124014927038469,0.0,0.04520547989973574,0.00018075700609072583,11.12598792532588
38,48.0,1.947393354852151,0.052606645147848546,0.0,0.053168197695462674,0.00021605118376461478,10.951678329656772
39,48.0,1.9460278171794563,0.05397218282054314,0.0,0.06236662116050829,0.0002575319907723796,10.780240622336786
40,48.0,1.9446632370396253,0.05533676296037418,0.0,0.07296464639612708,0.00030615498484630113,10.611649508931759
41,48.0,1.943299613761223,0.056700386238776206,0.0,0.0851437821636889,0.00036300177023666514,10.445882701296721
42,48.0,1.9419369466732863,0.058063053326712986,0.0,0.09910453294048494,0.0004292936025084228,10.282921149106137
43,48.0,1.9405752351053216,0.059424764894677747,0.0,0.11506783734158003,0.0005064059628043709,10.122749287604275
44,48.0,1.9392144783873058,0.060785521612693606,0.0,0.1332765623264831,0.0005958842259266023,9.96535530353105
45,48.0,1.9378546758496855,0.0621453241503138,0.0,0.15399705053665955,0.0006994604697890253,9.810731419758474
46,48.0,1.9364958268233772,0.0635041731766221,0.0,0.1775207355144196,0.0008190714888725063,9.658874199751315
47,48.0,1.9351379306397662,0.06486206936023312,0.0,0.20416581879037551,0.00095687805367991,9.509784872184612
48,48.0,1.933780986630707,0.06621901336929258,0.0,0.23427901768576906,0.0011152854790315483,9.363469676594084
49,48.0,1.9324249941285216,0.06757500587147776,0.0,0.26823739168096933,0.0012969655539409792,9.219940230738832
50,48.0,1.931069952466002,0.06893004753399766,0.0,0.30645025205945364,0.0015048798699780809,9.079213920229575
51,48.0,1.929715860976406,0.07028413902359355,0.0,0.34936118260759774,0.001742304710805638,8.94131431267718
52,48.0,1.9283627189934605,0.07163728100653907,0.0,0.3974501751255614,0.0020128574862543123,8.806271596261418
53,48.0,1.9270105258513588,0.07298947414864068,0.0,0.4512359028543507,0.0023205248535718794,8.674123044730369
54,48.0,1.9256592808847615,0.074340719115238,0.0,0.5112781869604155,0.002669692747486322,8.544913512343724
55,48.0,1.9243089834287954,0.07569101657120408,0.0,0.5781806537331106,0.0030651782940153767,8.418695958563909
56,48.0,1.9229596328190537,0.07704036718094577,0.0,0.6525936449908194,0.0035122638884977518,8.295532006815602
