"Surface" "Phase" "id" "value" "Time" "Cleaning"
"1" 4 361 1.25 -1 "Disinfectant"
"2" 4 362 7.25 -1 "Disinfectant"
"3" 4 363 26 -1 "Disinfectant"
"4" 4 364 40 -1 "Disinfectant"
"1" 4 365 1.25 -1 "Disinfectant"
"2" 4 366 1.25 -1 "Disinfectant"
"3" 4 367 7.25 -1 "Disinfectant"
"4" 4 368 1.25 -1 "Disinfectant"
"1" 4 369 7.25 -1 "Disinfectant"
"2" 4 370 7.25 -1 "Disinfectant"
"3" 4 371 7.25 -1 "Disinfectant"
"4" 4 372 1.25 -1 "Disinfectant"
"1" 4 373 7.25 -1 "Disinfectant"
"2" 4 374 7.25 -1 "Disinfectant"
"3" 4 375 7.25 -1 "Disinfectant"
"4" 4 376 7.25 -1 "Disinfectant"
"1" 4 377 7.25 -1 "Disinfectant"
"2" 4 378 1.25 -1 "Disinfectant"
"3" 4 379 1.25 -1 "Disinfectant"
"4" 4 380 1.25 -1 "Disinfectant"
"1" 4 381 1.25 -1 "Disinfectant"
"2" 4 382 1.25 -1 "Disinfectant"
"3" 4 383 1.25 -1 "Disinfectant"
"4" 4 384 1.25 -1 "Disinfectant"
"1" 4 385 1.25 -1 "Disinfectant"
"2" 4 386 1.25 -1 "Disinfectant"
"3" 4 387 1.25 -1 "Disinfectant"
"4" 4 388 1.25 -1 "Disinfectant"
"1" 4 389 1.25 -1 "Disinfectant"
"2" 4 390 1.25 -1 "Disinfectant"
"3" 4 391 1.25 -1 "Disinfectant"
"4" 4 392 7.25 -1 "Disinfectant"
"1" 4 393 7.25 -1 "Disinfectant"
"2" 4 394 7.25 -1 "Disinfectant"
"3" 4 395 7.25 -1 "Disinfectant"
"4" 4 396 1.25 -1 "Disinfectant"
"1" 4 397 1.25 -1 "Disinfectant"
"2" 4 398 1.25 -1 "Disinfectant"
"3" 4 399 7.25 -1 "Disinfectant"
"4" 4 400 1.25 -1 "Disinfectant"
"1" 4 401 7.25 -1 "Disinfectant"
"2" 4 402 1.25 -1 "Disinfectant"
"3" 4 403 7.25 -1 "Disinfectant"
"4" 4 404 26 -1 "Disinfectant"
"1" 4 405 7.25 -1 "Disinfectant"
"2" 4 406 1.25 -1 "Disinfectant"
"3" 4 407 1.25 -1 "Disinfectant"
"4" 4 408 1.25 -1 "Disinfectant"
"1" 4 409 1.25 -1 "Disinfectant"
"2" 4 410 1.25 -1 "Disinfectant"
"3" 4 411 1.25 -1 "Disinfectant"
"4" 4 412 1.25 -1 "Disinfectant"
"1" 4 413 1.25 -1 "Disinfectant"
"2" 4 414 7.25 -1 "Disinfectant"
"3" 4 415 1.25 -1 "Disinfectant"
"4" 4 416 7.25 -1 "Disinfectant"
"1" 4 417 7.25 -1 "Disinfectant"
"2" 4 418 1.25 -1 "Disinfectant"
"3" 4 419 1.25 -1 "Disinfectant"
"4" 4 420 7.25 -1 "Disinfectant"
"1" 4 421 1.25 -1 "Disinfectant"
"2" 4 422 1.25 -1 "Disinfectant"
"3" 4 423 1.25 -1 "Disinfectant"
"4" 4 424 1.25 -1 "Disinfectant"
"1" 4 425 1.25 -1 "Disinfectant"
"2" 4 426 1.25 -1 "Disinfectant"
"3" 4 427 1.25 -1 "Disinfectant"
"4" 4 428 0 -1 "Disinfectant"
"1" 4 429 7.25 -1 "Disinfectant"
"2" 4 430 7.25 -1 "Disinfectant"
"3" 4 431 7.25 -1 "Disinfectant"
"4" 4 432 26 -1 "Disinfectant"
"1" 4 433 1.25 -1 "Disinfectant"
"2" 4 434 1.25 -1 "Disinfectant"
"3" 4 435 1.25 -1 "Disinfectant"
"4" 4 436 0 -1 "Disinfectant"
"1" 4 437 1.25 -1 "Disinfectant"
"2" 4 438 1.25 -1 "Disinfectant"
"3" 4 439 1.25 -1 "Disinfectant"
"4" 4 440 1.25 -1 "Disinfectant"
"1" 4 441 1.25 -1 "Disinfectant"
"2" 4 442 1.25 -1 "Disinfectant"
"3" 4 443 26 -1 "Disinfectant"
"4" 4 444 1.25 -1 "Disinfectant"
"1" 4 445 7.25 -1 "Disinfectant"
"2" 4 446 1.25 -1 "Disinfectant"
"3" 4 447 7.25 -1 "Disinfectant"
"4" 4 448 1.25 -1 "Disinfectant"
"1" 4 449 1.25 -1 "Disinfectant"
"2" 4 450 1.25 -1 "Disinfectant"
"3" 4 451 1.25 -1 "Disinfectant"
"4" 4 452 1.25 -1 "Disinfectant"
"1" 4 453 1.25 -1 "Disinfectant"
"2" 4 454 1.25 -1 "Disinfectant"
"3" 4 455 1.25 -1 "Disinfectant"
"4" 4 456 1.25 -1 "Disinfectant"
"1" 4 457 1.25 -1 "Disinfectant"
"2" 4 458 1.25 -1 "Disinfectant"
"3" 4 459 1.25 -1 "Disinfectant"
